"time","S_c1","C_c1","I_c1","VS_c1","VC_c1","S_h1","C_h1","I_h1","VS_h1","VC_h1","D_h1","CInc_1a","CInc_1b","CInc_1c","CInc_1d","col_adm","col_discharges","admissions","discharges","inc_bsi_hosp","inc_hosp_onset","total_cases"
50,78849.5757481607,1184.34052296469,0.0837288721444592,0,0,342.606916047098,55.8583437837777,37.5347401691127,0,0,2151.04534670607,357001.930804179,5601.71564134139,5600.67279725605,4194.69264935097,79.3965352364001,341.789603314923,3153.72006595804,3124.73382741216,0.0671523676737706,2.74182555057814,2.80897791825191
51,78855.3337652026,1178.58292158089,0.0833132140667399,0,0,341.882927713493,56.209883402849,37.9071888836464,0,0,2151.86152828766,357011.011290587,5601.78205336464,5600.7396134951,4197.45200237654,80.7386640578462,350.293143476628,3215.0313606466,3185.17437637403,0.0668162390493308,2.75935302556627,2.8261692646156
52,78860.969623978,1172.9474696288,0.0829063908036957,0,0,341.174837800347,56.5527484944976,38.2724137051434,0,0,2152.68569033033,357020.141983936,5601.84814518218,5600.80610074996,4200.22845248448,82.0743218023299,358.849371976975,3276.29461304358,3245.55895311352,0.0664872548632047,2.77645010794367,2.84293736280688
53,78866.4861089807,1167.43138281595,0.0825082008977945,0,0,340.482452844017,56.8870810225578,38.6304661334129,0,0,2153.51767706846,357029.321495105,5601.91392358406,5600.87226601094,4203.02157589969,83.4036456906633,367.456982861751,3337.51076085634,3305.88865011729,0.066165260978778,2.79312341520654,2.85928867618532
54,78871.8859491328,1162.03193241673,0.0821184480464637,0,0,339.80557272002,57.2130261619369,38.981401118031,0,0,2154.35733388791,357038.548467364,5601.97939520535,5600.93811610825,4205.83095591858,84.7267698121713,376.114691969203,3398.68073486041,3366.16455179609,0.065850097315888,2.8093800188899,2.87523011620578
55,78877.1718172532,1156.74644580425,0.0817369401278931,0,0,339.14399126589,57.5307317035167,39.3252770305817,0,0,2155.20450741391,357047.821576552,5602.04456652708,5601.0036577139,4208.65618314383,86.0438251424843,384.821237653374,3459.80545837027,3426.38773386799,0.0655416056451941,2.82522722524845,2.89076883089365
56,78882.3463311621,1151.57230534732,0.0813634881887717,0,0,338.497497097752,57.8403473862143,39.6621555160221,0,0,2156.05904557032,357057.13953029,5602.10944388157,5601.06889734804,4211.49685550739,87.3549396524427,393.575380855061,3520.88584688273,3486.55926294306,0.0652396341447457,2.84067236356441,2.90591199770915
57,78887.4120540977,1146.50694799278,0.0809979071092006,0,0,337.86587425224,58.1420243795386,39.9921013682099,0,0,2156.92079764906,357066.50106761,5602.17403345555,5601.13384138144,4214.35257835246,88.6602383702951,402.375905354376,3581.92280765875,3546.68019603609,0.0649440333927487,2.85572284506998,2.92066687846273
58,78892.3714952007,1141.54786478091,0.0806400159918011,0,0,337.248902785284,58.4359148240235,40.31518239068,0,0,2157.78961437685,357075.904958552,5602.23834129318,5601.19849603808,4217.22296449207,89.9598434434341,411.221617951366,3642.917239322,3606.75158009887,0.064654656644052,2.87038613961249,2.93504079625654
59,78897.2271100573,1136.69260030258,0.0802896377106143,0,0,336.646359330671,58.7221714225174,40.6314692467996,0,0,2158.66534797866,357085.350003725,5602.30237329912,5601.2628673987,4220.10763424671,91.2538741995419,420.111348581888,3703.87003147651,3666.77445157477,0.0643713606241363,2.88466975463598,2.94904111526012
60,78901.9813045805,1131.93874881855,0.0799465984786553,0,0,336.058017801279,59.000947060839,40.9410351378699,0,0,2159.54785213859,357094.835031977,5602.3661352499,5601.32696141261,4223.00621499278,92.5424473774056,429.043948926169,3764.78206494249,3726.74983667349,0.0640940139101076,2.89858074607127,2.96267475998138
