,time,S_c1,C_c1,I_c1,VS_c1,VC_c1,S_h1,C_h1,I_h1,VS_h1,VC_h1,D_h1,CInc_1a,CInc_1b,CInc_1c,CInc_1d,col_adm,col_discharges,admissions,discharges,,,,,
75,74,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2127.037392,357007.8134,5603.469853,5602.41446,4087.928879,141.8866145,457.9685473,4413.072032,4406.508168,0.076783589,0.056015092,,0.02915346,
76,75,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2127.066546,357012.7047,5603.54665,5602.491244,4087.984894,143.8040012,464.1573115,4472.708141,4466.055576,0.076783589,0.056015092,,0.02915346,
77,76,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2127.095699,357017.5959,5603.623446,5602.568027,4088.040909,145.7213879,470.3460757,4532.34425,4525.602984,0.076783589,0.056015092,,0.02915346,
78,77,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2127.124852,357022.4872,5603.700243,5602.644811,4088.096924,147.6387746,476.5348398,4591.980358,4585.150391,0.076783589,0.056015092,,0.02915346,
79,78,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2127.154006,357027.3785,5603.77704,5602.721594,4088.152939,149.5561613,482.723604,4651.616467,4644.697799,0.076783589,0.056015092,,0.02915346,
80,79,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2127.183159,357032.2698,5603.853837,5602.798378,4088.208954,151.473548,488.9123681,4711.252575,4704.245207,0.076783589,0.056015092,,0.02915346,
81,80,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2127.212313,357037.161,5603.930633,5602.875162,4088.26497,153.3909346,495.1011323,4770.888684,4763.792614,0.076783589,0.056015092,,0.02915346,
82,81,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2127.241466,357042.0523,5604.00743,5602.951945,4088.320985,155.3083213,501.2898964,4830.524792,4823.340022,0.076783589,0.056015092,,0.02915346,
83,82,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2127.27062,357046.9436,5604.084227,5603.028729,4088.377,157.225708,507.4786606,4890.160901,4882.88743,0.076783589,0.056015092,,0.02915346,
84,83,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2127.299773,357051.8348,5604.161024,5603.105512,4088.433015,159.1430947,513.6674247,4949.797009,4942.434837,0.076783589,0.056015092,,0.02915346,
85,84,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2127.328927,357056.7261,5604.23782,5603.182296,4088.48903,161.0604814,519.8561889,5009.433118,5001.982245,0.076783589,0.056015092,,0.02915346,
86,85,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2127.35808,357061.6174,5604.314617,5603.259079,4088.545045,162.9778681,526.044953,5069.069226,5061.529653,0.076783589,0.056015092,,0.02915346,
87,86,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2127.387234,357066.5087,5604.391414,5603.335863,4088.60106,164.8952547,532.2337172,5128.705335,5121.07706,0.076783589,0.056015092,,0.02915346,
88,87,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2127.416387,357071.3999,5604.468211,5603.412647,4088.657075,166.8126414,538.4224813,5188.341444,5180.624468,0.076783589,0.056015092,,0.02915346,
89,88,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2127.445541,357076.2912,5604.545007,5603.48943,4088.71309,168.7300281,544.6112455,5247.977552,5240.171876,0.076783589,0.056015092,,0.02915346,
90,89,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2127.474694,357081.1825,5604.621804,5603.566214,4088.769105,170.6474148,550.8000096,5307.613661,5299.719283,0.076783589,0.056015092,,0.02915346,
91,90,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2127.503847,357086.0738,5604.698601,5603.642997,4088.82512,172.5648015,556.9887738,5367.249769,5359.266691,0.076783589,0.056015092,,0.02915346,
92,91,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2127.533001,357090.965,5604.775398,5603.719781,4088.881136,174.4821882,563.177538,5426.885878,5418.814099,0.076783589,0.056015092,,0.02915346,
93,92,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2127.562154,357095.8563,5604.852194,5603.796565,4088.937151,176.3995748,569.3663021,5486.521986,5478.361506,0.076783589,0.056015092,,0.02915346,
94,93,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2127.591308,357100.7476,5604.928991,5603.873348,4088.993166,178.3169615,575.5550663,5546.158095,5537.908914,0.076783589,0.056015092,,0.02915346,
95,94,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2127.620461,357105.6388,5605.005788,5603.950132,4089.049181,180.2343482,581.7438304,5605.794203,5597.456322,0.076783589,0.056015092,,0.02915346,
96,95,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2127.649615,357110.5301,5605.082584,5604.026915,4089.105196,182.1517349,587.9325946,5665.430312,5657.003729,0.076783589,0.056015092,,0.02915346,
97,96,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2127.678768,357115.4214,5605.159381,5604.103699,4089.161211,184.0691216,594.1213587,5725.06642,5716.551137,0.076783589,0.056015092,,0.02915346,
98,97,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2127.707922,357120.3127,5605.236178,5604.180483,4089.217226,185.9865082,600.3101229,5784.702529,5776.098545,0.076783589,0.056015092,,0.02915346,
99,98,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2127.737075,357125.2039,5605.312975,5604.257266,4089.273241,187.9038949,606.498887,5844.338638,5835.645953,0.076783589,0.056015092,,0.02915346,
100,99,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2127.766229,357130.0952,5605.389771,5604.33405,4089.329256,189.8212816,612.6876512,5903.974746,5895.19336,0.076783589,0.056015092,,0.02915346,
101,100,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2127.795382,357134.9865,5605.466568,5604.410833,4089.385271,191.7386683,618.8764153,5963.610855,5954.740768,0.076783589,0.056015092,,0.02915346,
102,101,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2127.824536,357139.8777,5605.543365,5604.487617,4089.441286,193.656055,625.0651795,6023.246963,6014.288176,0.076783589,0.056015092,,0.02915346,
103,102,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2127.853689,357144.769,5605.620162,5604.5644,4089.497302,195.5734417,631.2539436,6082.883072,6073.835583,0.076783589,0.056015092,,0.02915346,
104,103,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2127.882842,357149.6603,5605.696958,5604.641184,4089.553317,197.4908283,637.4427078,6142.51918,6133.382991,0.076783589,0.056015092,,0.02915346,
105,104,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2127.911996,357154.5516,5605.773755,5604.717968,4089.609332,199.408215,643.6314719,6202.155289,6192.930399,0.076783589,0.056015092,,0.02915346,
106,105,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2127.941149,357159.4428,5605.850552,5604.794751,4089.665347,201.3256017,649.8202361,6261.791397,6252.477806,0.076783589,0.056015092,,0.02915346,
107,106,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2127.970303,357164.3341,5605.927349,5604.871535,4089.721362,203.2429884,656.0090003,6321.427506,6312.025214,0.076783589,0.056015092,,0.02915346,
108,107,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2127.999456,357169.2254,5606.004145,5604.948318,4089.777377,205.1603751,662.1977644,6381.063614,6371.572622,0.076783589,0.056015092,,0.02915346,
109,108,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2128.02861,357174.1166,5606.080942,5605.025102,4089.833392,207.0777618,668.3865286,6440.699723,6431.120029,0.076783589,0.056015092,,0.02915346,
110,109,78346.06363,1687.84039,0.095979486,0,0,389.4791498,45.17346097,1.347389206,0,0,2128.057763,357179.0079,5606.157739,5605.101886,4089.889407,208.9951484,674.5752927,6500.335832,6490.667437,0.076783589,0.056015092,,0.02915346,
