"","year","vacc_coverage","vacc_efficacy","no_int_cases_cum","with_int_baseline_cases_cum"
"397",2,0.8,1,55678,13415
"398",3,0.8,1,83517,21147
"399",4,0.8,1,111356,29812
"400",5,0.8,1,139195,39395
"401",1,0.9,0.1,27839,25465
"402",2,0.9,0.1,55678,50978
"403",3,0.9,0.1,83517,76597
"404",4,0.9,0.1,111356,102325
"405",5,0.9,0.1,139195,128160
"406",1,0.9,0.2,27839,23086
"407",2,0.9,0.2,55678,46266
"408",3,0.9,0.2,83517,69656
"409",4,0.9,0.2,111356,93264
"410",5,0.9,0.2,139195,117084
"411",1,0.9,0.3,27839,20703
"412",2,0.9,0.3,55678,41541
"413",3,0.9,0.3,83517,62693
"414",4,0.9,0.3,111356,84170
"415",5,0.9,0.3,139195,105964
"416",1,0.9,0.4,27839,18316
"417",2,0.9,0.4,55678,36806
"418",3,0.9,0.4,83517,55710
"419",4,0.9,0.4,111356,75046
"420",5,0.9,0.4,139195,94804
"421",1,0.9,0.5,27839,15924
"422",2,0.9,0.5,55678,32057
"423",3,0.9,0.5,83517,48705
"424",4,0.9,0.5,111356,65890
"425",5,0.9,0.5,139195,83600
"426",1,0.9,0.6,27839,13529
"427",2,0.9,0.6,55678,27298
"428",3,0.9,0.6,83517,41680
"429",4,0.9,0.6,111356,56703
"430",5,0.9,0.6,139195,72354
"431",1,0.9,0.7,27839,11129
"432",2,0.9,0.7,55678,22527
"433",3,0.9,0.7,83517,34634
"434",4,0.9,0.7,111356,47486
"435",5,0.9,0.7,139195,61068
"436",1,0.9,0.8,27839,8725
"437",2,0.9,0.8,55678,17744
"438",3,0.9,0.8,83517,27567
"439",4,0.9,0.8,111356,38237
"440",5,0.9,0.8,139195,49739
"441",1,0.9,0.9,27839,6318
"442",2,0.9,0.9,55678,12951
"443",3,0.9,0.9,83517,20481
"444",4,0.9,0.9,111356,28960
"445",5,0.9,0.9,139195,38371
"446",1,0.9,1,27839,3906
"447",2,0.9,1,55678,8146
"448",3,0.9,1,83517,13375
"449",4,0.9,1,111356,19652
"450",5,0.9,1,139195,26961
"451",1,1,0.1,27839,25201
"452",2,1,0.1,55678,50456
"453",3,1,0.1,83517,75829
"454",4,1,0.1,111356,101323
"455",5,1,0.1,139195,126935
"456",1,1,0.2,27839,22558
"457",2,1,0.2,55678,45220
"458",3,1,0.2,83517,68116
"459",4,1,0.2,111356,91254
"460",5,1,0.2,139195,114628
"461",1,1,0.3,27839,19911
"462",2,1,0.3,55678,39972
"463",3,1,0.3,83517,60382
"464",4,1,0.3,111356,81153
"465",5,1,0.3,139195,102276
"466",1,1,0.4,27839,17258
"467",2,1,0.4,55678,34710
"468",3,1,0.4,83517,52623
"469",4,1,0.4,111356,71015
"470",5,1,0.4,139195,89876
"471",1,1,0.5,27839,14602
"472",2,1,0.5,55678,29436
"473",3,1,0.5,83517,44842
"474",4,1,0.5,111356,60845
"475",5,1,0.5,139195,77431
"476",1,1,0.6,27839,11941
"477",2,1,0.6,55678,24150
"478",3,1,0.6,83517,37040
"479",4,1,0.6,111356,50642
"480",5,1,0.6,139195,64942
"481",1,1,0.7,27839,9275
"482",2,1,0.7,55678,18850
"483",3,1,0.7,83517,29214
"484",4,1,0.7,111356,40405
"485",5,1,0.7,139195,52407
"486",1,1,0.8,27839,6605
"487",2,1,0.8,55678,13539
"488",3,1,0.8,83517,21367
"489",4,1,0.8,111356,30136
"490",5,1,0.8,139195,39828
"491",1,1,0.9,27839,3931
"492",2,1,0.9,55678,8216
"493",3,1,0.9,83517,13499
"494",4,1,0.9,111356,19835
"495",5,1,0.9,139195,27206
"496",1,1,1,27839,1253
"497",2,1,1,55678,2882
"498",3,1,1,83517,5610
"499",4,1,1,111356,9502
"500",5,1,1,139195,14540
